Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
register.tapButtonRegister(),,,,2023-05-07 19:32:18,2023-05-07 19:32:18,0.796s,PASSED
register.verifyFieldPassword(),,,,2023-05-07 19:32:18,2023-05-07 19:32:19,0.100s,PASSED
"comment(""Case : Field Confirm Password empty"")",,,,2023-05-07 19:32:19,2023-05-07 19:32:19,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:32:19,2023-05-07 19:32:22,3.036s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:32:22,2023-05-07 19:32:25,3.156s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:32:25,2023-05-07 19:32:30,5.265s,PASSED
"register.setConfirmPassword("""")",,,,2023-05-07 19:32:30,2023-05-07 19:32:35,4.687s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:32:35,2023-05-07 19:32:36,0.904s,PASSED
register.verifyFieldConfirmPassword(),,,,2023-05-07 19:32:36,2023-05-07 19:32:36,0.130s,PASSED
"comment(""Case : Email Already Exists"")",,,,2023-05-07 19:32:36,2023-05-07 19:32:36,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:32:36,2023-05-07 19:32:39,3.371s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:32:39,2023-05-07 19:32:42,2.914s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:32:42,2023-05-07 19:32:47,5.338s,PASSED
register.setConfirmPassword(G_password),,,,2023-05-07 19:32:47,2023-05-07 19:32:53,5.166s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:32:53,2023-05-07 19:32:53,0.853s,PASSED
register.checkToastEmailExist(),,,,2023-05-07 19:32:53,2023-05-07 19:32:54,0.103s,PASSED
,,,,,,,
Test Cases/Android/Login/Login Success,,,,2023-05-07 19:32:54,2023-05-07 19:33:15,21.261s,FAILED
Common.startApp(),,,,2023-05-07 19:32:54,2023-05-07 19:33:03,9.444s,PASSED
"comment(""Case : Login Success"")",,,,2023-05-07 19:33:03,2023-05-07 19:33:03,0.004s,PASSED
"comment(""Step : Set Email"")",,,,2023-05-07 19:33:03,2023-05-07 19:33:03,0.001s,PASSED
login.setEmail(G_email),,,,2023-05-07 19:33:03,2023-05-07 19:33:07,3.855s,PASSED
"comment(""Step : Set Password"")",,,,2023-05-07 19:33:07,2023-05-07 19:33:07,0.002s,PASSED
login.setPassword(G_password),,,,2023-05-07 19:33:07,2023-05-07 19:33:12,5.134s,PASSED
"comment(""Step : Tap Login Button"")",,,,2023-05-07 19:33:12,2023-05-07 19:33:12,0.002s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:33:12,2023-05-07 19:33:12,0.227s,PASSED
"comment(""Step : Verify Login Success"")",,,,2023-05-07 19:33:12,2023-05-07 19:33:12,0.002s,PASSED
login.verifyLoginSuccess(),,,,2023-05-07 19:33:12,2023-05-07 19:33:15,2.338s,FAILED
,,,,,,,
Test Cases/Android/Login/Login Failed,,,,2023-05-07 19:33:15,2023-05-07 19:33:38,23.501s,PASSED
"login.setGVariable(""qq"", ""qq0@qq.com"", ""qq"")",,,,2023-05-07 19:33:15,2023-05-07 19:33:15,0.002s,PASSED
Common.startApp(),,,,2023-05-07 19:33:15,2023-05-07 19:33:24,8.602s,PASSED
"comment(""Case : Set Email Empty"")",,,,2023-05-07 19:33:24,2023-05-07 19:33:24,0.003s,PASSED
"login.setEmail("""")",,,,2023-05-07 19:33:24,2023-05-07 19:33:28,4.104s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:33:28,2023-05-07 19:33:29,0.782s,PASSED
login.verifyFieldEmail(),,,,2023-05-07 19:33:29,2023-05-07 19:33:29,0.129s,PASSED
"comment(""Case : Set Password Empty"")",,,,2023-05-07 19:33:29,2023-05-07 19:33:29,0.002s,PASSED
login.setEmail(G_email),,,,2023-05-07 19:33:29,2023-05-07 19:33:32,3.135s,PASSED
"login.setPassword("""")",,,,2023-05-07 19:33:32,2023-05-07 19:33:37,5.541s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:33:37,2023-05-07 19:33:38,0.796s,PASSED
login.verifyFieldPassword(),,,,2023-05-07 19:33:38,2023-05-07 19:33:38,0.133s,PASSED
