Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"comment(""Case : Field Name empty"")",,,,2023-05-07 19:27:22,2023-05-07 19:27:22,0.004s,PASSED
"register.setName("""")",,,,2023-05-07 19:27:22,2023-05-07 19:27:26,4.165s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:27:26,2023-05-07 19:27:27,0.884s,PASSED
register.verifyFieldName(),,,,2023-05-07 19:27:27,2023-05-07 19:27:27,0.235s,PASSED
"comment(""Case : Field Email empty"")",,,,2023-05-07 19:27:27,2023-05-07 19:27:27,0.003s,PASSED
register.setName(G_name),,,,2023-05-07 19:27:27,2023-05-07 19:27:31,3.395s,PASSED
"register.setEmail("""")",,,,2023-05-07 19:27:31,2023-05-07 19:27:34,3.124s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:27:34,2023-05-07 19:27:35,0.827s,PASSED
register.verifyFieldEmail(),,,,2023-05-07 19:27:35,2023-05-07 19:27:35,0.134s,PASSED
"comment(""Case : Field Password empty"")",,,,2023-05-07 19:27:35,2023-05-07 19:27:35,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:27:35,2023-05-07 19:27:38,3.166s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:27:38,2023-05-07 19:27:41,3.049s,PASSED
"register.setPassword("""")",,,,2023-05-07 19:27:41,2023-05-07 19:27:46,5.508s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:27:46,2023-05-07 19:27:47,0.841s,PASSED
register.verifyFieldPassword(),,,,2023-05-07 19:27:47,2023-05-07 19:27:47,0.137s,PASSED
"comment(""Case : Field Confirm Password empty"")",,,,2023-05-07 19:27:47,2023-05-07 19:27:47,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:27:47,2023-05-07 19:27:51,3.201s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:27:51,2023-05-07 19:27:54,2.992s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:27:54,2023-05-07 19:27:59,5.101s,PASSED
"register.setConfirmPassword("""")",,,,2023-05-07 19:27:59,2023-05-07 19:28:03,4.668s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:28:03,2023-05-07 19:28:04,0.832s,PASSED
register.verifyFieldConfirmPassword(),,,,2023-05-07 19:28:04,2023-05-07 19:28:04,0.143s,PASSED
"comment(""Case : Email Already Exists"")",,,,2023-05-07 19:28:04,2023-05-07 19:28:04,0.003s,PASSED
register.setName(G_name),,,,2023-05-07 19:28:04,2023-05-07 19:28:08,3.498s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:28:08,2023-05-07 19:28:11,3.098s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:28:11,2023-05-07 19:28:17,5.587s,PASSED
"register.setConfirmPassword("""")",,,,2023-05-07 19:28:17,2023-05-07 19:28:22,5.087s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:28:22,2023-05-07 19:28:22,0.694s,PASSED
register.checkToastEmailExist(),,,,2023-05-07 19:28:22,2023-05-07 19:28:24,1.837s,FAILED
,,,,,,,
Test Cases/Android/Login/Login Success,,,,2023-05-07 19:28:24,2023-05-07 19:28:46,22.262s,FAILED
Common.startApp(),,,,2023-05-07 19:28:25,2023-05-07 19:28:35,10.607s,PASSED
"comment(""Case : Login Success"")",,,,2023-05-07 19:28:35,2023-05-07 19:28:35,0.005s,PASSED
"comment(""Step : Set Email"")",,,,2023-05-07 19:28:35,2023-05-07 19:28:35,0.004s,PASSED
login.setEmail(G_email),,,,2023-05-07 19:28:35,2023-05-07 19:28:39,3.913s,PASSED
"comment(""Step : Set Password"")",,,,2023-05-07 19:28:39,2023-05-07 19:28:39,0.002s,PASSED
login.setPassword(G_password),,,,2023-05-07 19:28:39,2023-05-07 19:28:44,5.250s,PASSED
"comment(""Step : Tap Login Button"")",,,,2023-05-07 19:28:44,2023-05-07 19:28:44,0.002s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:28:44,2023-05-07 19:28:45,0.190s,PASSED
"comment(""Step : Verify Login Success"")",,,,2023-05-07 19:28:45,2023-05-07 19:28:45,0.002s,PASSED
login.verifyLoginSuccess(),,,,2023-05-07 19:28:45,2023-05-07 19:28:46,1.849s,PASSED
,,,,,,,
Test Cases/Android/Login/Login Failed,,,,2023-05-07 19:28:46,2023-05-07 19:29:13,26.337s,PASSED
"login.setGVariable(""qq"", ""qq0@qq.com"", ""qq"")",,,,2023-05-07 19:28:47,2023-05-07 19:28:47,0.001s,PASSED
Common.startApp(),,,,2023-05-07 19:28:47,2023-05-07 19:28:59,12.195s,PASSED
"comment(""Case : Set Email Empty"")",,,,2023-05-07 19:28:59,2023-05-07 19:28:59,0.004s,PASSED
"login.setEmail("""")",,,,2023-05-07 19:28:59,2023-05-07 19:29:03,3.760s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:29:03,2023-05-07 19:29:04,0.863s,PASSED
login.verifyFieldEmail(),,,,2023-05-07 19:29:04,2023-05-07 19:29:04,0.154s,PASSED
"comment(""Case : Set Password Empty"")",,,,2023-05-07 19:29:04,2023-05-07 19:29:04,0.002s,PASSED
login.setEmail(G_email),,,,2023-05-07 19:29:04,2023-05-07 19:29:07,3.098s,PASSED
"login.setPassword("""")",,,,2023-05-07 19:29:07,2023-05-07 19:29:12,5.037s,PASSED
login.tapLoginButton(),,,,2023-05-07 19:29:12,2023-05-07 19:29:13,0.804s,PASSED
login.verifyFieldPassword(),,,,2023-05-07 19:29:13,2023-05-07 19:29:13,0.142s,PASSED
